size,policy,core,trace,IPC,cycles,accuracy,MPKI,L1D_miss%,L1D_hit%,L1D_rfo,L1D_writeback,L1I_miss%,L1I_hit%,L1I_rfo,L1I_writeback,L2C_miss%,L2C_hit%,L2C_rfo,L2C_writeback,LLC_miss%,LLC_hit%,LLC_rfo,LLC_writeback,LLC_writes
1MB,mru,0,456.hmmer-327B,1.40668,7108918,99.7805,0.0935,1.3879,98.6121,564571,0,0.0,100.0,0,0,38.794,61.206,26618,26603,71.2517,28.7483,26615,25897,52512
1MB,mru,0,605.mcf_s-665B,0.260853,38335751,93.0967,17.2468,11.6674,88.3326,1065797,0,0.0,100.0,0,0,65.6057,34.3943,38645,55022,92.5303,7.4697,29088,38949,68037
1MB,random,0,401.bzip2-277B,0.670655,14910794,98.3304,2.6127,22.4218,77.5782,424031,0,0.0,100.0,0,0,65.2679,34.7321,12549,13979,59.988,40.012,6999,7553,14552
1MB,random,0,403.gcc-16B,1.18696,8424859,99.8932,0.2104,75.2614,24.7386,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.208,99.792,487110,488655,975765
1MB,random,0,456.hmmer-327B,1.39467,7170132,99.7805,0.0935,1.3879,98.6121,564425,0,0.0,100.0,0,0,38.5433,61.4567,26618,26603,54.9336,45.0664,26615,25926,52541
1MB,random,0,605.mcf_s-665B,0.311658,32086470,93.0967,17.2468,11.6657,88.3343,1066314,0,0.0,100.0,0,0,65.5796,34.4204,38647,55023,59.0276,40.9724,29055,38880,67935
1MB,ship,0,401.bzip2-277B,0.688435,14525701,98.3304,2.6127,22.4188,77.5812,424103,0,0.0,100.0,0,0,65.2509,34.7491,12551,13979,59.5325,40.4675,6964,7432,14396
1MB,ship,0,403.gcc-16B,1.18704,8424342,99.8932,0.2104,75.262,24.738,569093,0,0.0294,99.9706,0,0,50.2186,49.7814,487320,489048,0.2023,99.7977,487115,488660,975775
1MB,ship,0,456.hmmer-327B,1.40236,7130812,99.7805,0.0935,1.388,98.612,563853,0,0.0,100.0,0,0,38.4214,61.5786,26618,26603,71.447,28.553,26615,25923,52538
1MB,ship,0,605.mcf_s-665B,0.349062,28648169,93.0967,17.2468,11.6617,88.3383,1067071,0,0.0,100.0,0,0,65.6788,34.3212,38647,55025,43.461,56.539,29048,38919,67967
1MB,srrip,0,401.bzip2-277B,0.681508,14673342,98.3304,2.6127,22.4192,77.5808,424060,0,0.0,100.0,0,0,65.3469,34.6531,12549,13979,59.0872,40.9128,7020,7556,14576
1MB,srrip,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2026,99.7974,487110,488655,975765
1MB,srrip,0,456.hmmer-327B,1.40508,7117052,99.7805,0.0935,1.3878,98.6122,564628,0,0.0,100.0,0,0,38.794,61.206,26618,26603,58.8449,41.1551,26615,25897,52512
1MB,srrip,0,605.mcf_s-665B,0.353765,28267378,93.0967,17.2468,11.6614,88.3386,1067057,0,0.0,100.0,0,0,65.6075,34.3925,38647,55025,44.144,55.856,29089,38951,68040
2MB,drrip,0,401.bzip2-277B,0.923554,10827736,98.3304,2.6127,22.407,77.593,423849,0,0.0,100.0,0,0,65.3161,34.6839,12549,13979,25.4854,74.5146,6986,7520,14506
2MB,drrip,0,403.gcc-16B,1.1871,8423898,99.8932,0.2104,75.261,24.739,569093,0,0.0294,99.9706,0,0,50.2182,49.7818,487320,489048,0.2018,99.7982,487110,488658,975768
2MB,drrip,0,456.hmmer-327B,1.47517,6778870,99.7805,0.0935,1.3871,98.6129,564817,0,0.0,100.0,0,0,38.1383,61.8617,26618,26603,50.6143,49.3857,26615,25918,52533
2MB,drrip,0,605.mcf_s-665B,0.385133,25965045,93.0967,17.2468,11.6638,88.3362,1066807,0,0.0,100.0,0,0,65.5962,34.4038,38646,55026,36.9558,63.0442,29174,38973,68147
2MB,hcit,0,401.bzip2-277B,0.94168,10619317,98.3304,2.6127,22.4046,77.5954,423881,0,0.0,100.0,0,0,65.3457,34.6543,12550,13979,24.3674,75.6326,7020,7556,14576
2MB,hcit,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
2MB,hcit,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
2MB,hcit,0,605.mcf_s-665B,0.390507,25607704,93.0967,17.2468,11.6627,88.3373,1067034,0,0.0,100.0,0,0,65.6067,34.3933,38646,55025,35.9223,64.0777,29088,38950,68038
2MB,lru,0,401.bzip2-277B,0.928355,10771746,98.3304,2.6127,22.4043,77.5957,423930,0,0.0,100.0,0,0,65.3462,34.6538,12549,13979,25.5328,74.4672,7020,7556,14576
2MB,lru,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
2MB,lru,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
2MB,lru,0,605.mcf_s-665B,0.386095,25900380,93.0967,17.2468,11.6624,88.3376,1067055,0,0.0,100.0,0,0,65.607,34.393,38646,55025,36.8216,63.1784,29089,38951,68040
2MB,mru,0,401.bzip2-277B,0.811388,12324562,98.3304,2.6127,22.4176,77.5824,423800,0,0.0,100.0,0,0,65.3452,34.6548,12549,13979,34.8084,65.1916,7020,7556,14576
2MB,mru,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
2MB,mru,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
2MB,mru,0,605.mcf_s-665B,0.278284,35934574,93.0967,17.2468,11.6664,88.3336,1065968,0,0.0,100.0,0,0,65.6077,34.3923,38644,55022,81.0088,18.9912,29088,38950,68038
2MB,random,0,401.bzip2-277B,0.869817,11496676,98.3304,2.6127,22.4118,77.5882,423718,0,0.0,100.0,0,0,65.2652,34.7348,12549,13979,28.8845,71.1155,7000,7554,14554
2MB,random,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
2MB,random,0,456.hmmer-327B,1.48428,6737253,99.7805,0.0935,1.3868,98.6132,565534,0,0.0,100.0,0,0,38.5433,61.4567,26618,26603,49.6059,50.3941,26615,25926,52541
2MB,random,0,605.mcf_s-665B,0.352309,28384187,93.0967,17.2468,11.6637,88.3363,1066751,0,0.0,100.0,0,0,65.5729,34.4271,38647,55024,44.8882,55.1118,29091,38920,68011
2MB,ship,0,401.bzip2-277B,0.950454,10521291,98.3304,2.6127,22.4029,77.5971,423936,0,0.0,100.0,0,0,65.2568,34.7432,12550,13979,24.5146,75.4854,6963,7467,14430
2MB,ship,0,403.gcc-16B,1.18773,8419458,99.8932,0.2104,75.2616,24.7384,569092,0,0.0294,99.9706,0,0,50.2187,49.7813,487320,489048,0.2018,99.7982,487118,488663,975781
2MB,ship,0,456.hmmer-327B,1.47323,6787823,99.7805,0.0935,1.3873,98.6127,564339,0,0.0,100.0,0,0,38.0643,61.9357,26618,26603,49.9113,50.0887,26615,25948,52563
2MB,ship,0,605.mcf_s-665B,0.389543,25671126,93.0967,17.2468,11.6625,88.3375,1067125,0,0.0,100.0,0,0,65.5862,34.4138,38646,55025,35.79,64.21,29082,38890,67972
2MB,srrip,0,401.bzip2-277B,0.906648,11029634,98.3304,2.6127,22.4086,77.5914,423821,0,0.0,100.0,0,0,65.3456,34.6544,12549,13979,27.0983,72.9017,7020,7556,14576
2MB,srrip,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
2MB,srrip,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
2MB,srrip,0,605.mcf_s-665B,0.390195,25628230,93.0967,17.2468,11.6624,88.3376,1067074,0,0.0,100.0,0,0,65.6068,34.3932,38646,55025,35.9694,64.0306,29088,38950,68038
4MB,drrip,0,401.bzip2-277B,1.10754,9028983,98.3304,2.6127,22.3917,77.6083,424004,0,0.0,100.0,0,0,65.2748,34.7252,12549,13979,15.6635,84.3365,6977,7469,14446
4MB,drrip,0,403.gcc-16B,1.18736,8422031,99.8932,0.2104,75.259,24.741,569093,0,0.0294,99.9706,0,0,50.2257,49.7743,487320,489047,0.2022,99.7978,487131,488688,975819
4MB,drrip,0,456.hmmer-327B,1.48173,6748868,99.7805,0.0935,1.3873,98.6127,564712,0,0.0,100.0,0,0,38.3668,61.6332,26618,26603,49.9227,50.0773,26615,25934,52549
4MB,drrip,0,605.mcf_s-665B,0.411502,24301201,93.0967,17.2468,11.6639,88.3361,1066948,0,0.0,100.0,0,0,65.5632,34.4368,38647,55026,32.7424,67.2576,29109,38961,68070
4MB,hcit,0,401.bzip2-277B,1.11886,8937667,98.3304,2.6127,22.3917,77.6083,423951,0,0.0,100.0,0,0,65.3456,34.6544,12549,13979,15.228,84.772,7020,7556,14576
4MB,hcit,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
4MB,hcit,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
4MB,hcit,0,605.mcf_s-665B,0.415499,24067473,93.0967,17.2468,11.6631,88.3369,1067074,0,0.0,100.0,0,0,65.6073,34.3927,38646,55025,32.1722,67.8278,29089,38951,68040
4MB,lru,0,401.bzip2-277B,1.11886,8937667,98.3304,2.6127,22.3917,77.6083,423951,0,0.0,100.0,0,0,65.3456,34.6544,12549,13979,15.228,84.772,7020,7556,14576
4MB,lru,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
4MB,lru,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
4MB,lru,0,605.mcf_s-665B,0.412829,24223082,93.0967,17.2468,11.6631,88.3369,1067074,0,0.0,100.0,0,0,65.6065,34.3935,38646,55025,32.5141,67.4859,29089,38951,68040
4MB,mru,0,401.bzip2-277B,1.11886,8937667,98.3304,2.6127,22.3917,77.6083,423951,0,0.0,100.0,0,0,65.3456,34.6544,12549,13979,15.228,84.772,7020,7556,14576
4MB,mru,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
4MB,mru,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
4MB,mru,0,605.mcf_s-665B,0.322883,30970955,93.0967,17.2468,11.6659,88.3341,1066372,0,0.0,100.0,0,0,65.6081,34.3919,38646,55024,58.4472,41.5528,29090,38952,68042
4MB,random,0,401.bzip2-277B,1.11833,8941894,98.3304,2.6127,22.3916,77.6084,423918,0,0.0,100.0,0,0,65.266,34.734,12549,13979,15.2461,84.7539,7000,7554,14554
4MB,random,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
4MB,random,0,456.hmmer-327B,1.48428,6737253,99.7805,0.0935,1.3868,98.6132,565534,0,0.0,100.0,0,0,38.5433,61.4567,26618,26603,49.6059,50.3941,26615,25926,52541
4MB,random,0,605.mcf_s-665B,0.3916,25536240,93.0967,17.2468,11.663,88.337,1066956,0,0.0,100.0,0,0,65.5828,34.4172,38647,55026,35.9402,64.0598,29074,38901,67975
4MB,ship,0,401.bzip2-277B,1.11832,8942008,98.3304,2.6127,22.3917,77.6083,423946,0,0.0,100.0,0,0,65.3057,34.6943,12549,13979,15.2436,84.7564,6982,7470,14452
4MB,ship,0,403.gcc-16B,1.18682,8425889,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2215,49.7785,487320,489048,0.2018,99.7982,487143,488688,975831
4MB,ship,0,456.hmmer-327B,1.48131,6750776,99.7805,0.0935,1.3868,98.6132,565624,0,0.0,100.0,0,0,38.5407,61.4593,26618,26603,49.6068,50.3932,26615,25925,52540
4MB,ship,0,605.mcf_s-665B,0.419452,23840639,93.0967,17.2468,11.6631,88.3369,1067114,0,0.0,100.0,0,0,65.5983,34.4017,38647,55025,31.7391,68.2609,29099,38914,68013
4MB,srrip,0,401.bzip2-277B,1.11886,8937667,98.3304,2.6127,22.3917,77.6083,423951,0,0.0,100.0,0,0,65.3456,34.6544,12549,13979,15.228,84.772,7020,7556,14576
4MB,srrip,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
4MB,srrip,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
4MB,srrip,0,605.mcf_s-665B,0.415812,24049326,93.0967,17.2468,11.6631,88.3369,1067082,0,0.0,100.0,0,0,65.6071,34.3929,38646,55025,32.129,67.871,29089,38951,68040
8MB,drrip,0,401.bzip2-277B,1.11583,8961969,98.3304,2.6127,22.392,77.608,423966,0,0.0,100.0,0,0,65.2694,34.7306,12551,13979,15.3599,84.6401,6978,7533,14511
8MB,drrip,0,403.gcc-16B,1.18664,8427169,99.8932,0.2104,75.2567,24.7433,569115,0,0.0294,99.9706,0,0,50.2231,49.7769,487320,489048,0.2019,99.7981,487130,488679,975809
8MB,drrip,0,456.hmmer-327B,1.48752,6722608,99.7805,0.0935,1.3867,98.6133,565833,0,0.0,100.0,0,0,37.9235,62.0765,26618,26602,50.0583,49.9417,26615,25946,52561
8MB,drrip,0,605.mcf_s-665B,0.424156,23576224,93.0967,17.2468,11.6637,88.3363,1067007,0,0.0,100.0,0,0,65.6298,34.3702,38647,55025,31.2065,68.7935,29132,38961,68093
8MB,hcit,0,401.bzip2-277B,1.11886,8937667,98.3304,2.6127,22.3917,77.6083,423951,0,0.0,100.0,0,0,65.3456,34.6544,12549,13979,15.228,84.772,7020,7556,14576
8MB,hcit,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
8MB,hcit,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
8MB,hcit,0,605.mcf_s-665B,0.425315,23511989,93.0967,17.2468,11.6633,88.3367,1067079,0,0.0,100.0,0,0,65.6071,34.3929,38647,55026,31.0808,68.9192,29089,38951,68040
8MB,lru,0,401.bzip2-277B,1.11886,8937667,98.3304,2.6127,22.3917,77.6083,423951,0,0.0,100.0,0,0,65.3456,34.6544,12549,13979,15.228,84.772,7020,7556,14576
8MB,lru,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
8MB,lru,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
8MB,lru,0,605.mcf_s-665B,0.425331,23511103,93.0967,17.2468,11.6633,88.3367,1067079,0,0.0,100.0,0,0,65.6071,34.3929,38647,55026,31.0785,68.9215,29089,38951,68040
8MB,mru,0,401.bzip2-277B,1.11886,8937667,98.3304,2.6127,22.3917,77.6083,423951,0,0.0,100.0,0,0,65.3456,34.6544,12549,13979,15.228,84.772,7020,7556,14576
8MB,mru,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
8MB,mru,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
8MB,mru,0,605.mcf_s-665B,0.415256,24081526,93.0967,17.2468,11.6633,88.3367,1067029,0,0.0,100.0,0,0,65.6074,34.3926,38647,55026,32.511,67.489,29089,38951,68040
8MB,random,0,401.bzip2-277B,1.11833,8941894,98.3304,2.6127,22.3916,77.6084,423918,0,0.0,100.0,0,0,65.266,34.734,12549,13979,15.2461,84.7539,7000,7554,14554
8MB,random,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
8MB,random,0,456.hmmer-327B,1.48428,6737253,99.7805,0.0935,1.3868,98.6132,565534,0,0.0,100.0,0,0,38.5433,61.4567,26618,26603,49.6059,50.3941,26615,25926,52541
8MB,random,0,605.mcf_s-665B,0.423629,23605555,93.0967,17.2468,11.6632,88.3368,1067071,0,0.0,100.0,0,0,65.593,34.407,38647,55025,31.2588,68.7412,29138,38946,68084
8MB,ship,0,401.bzip2-277B,1.11858,8939878,98.3304,2.6127,22.3929,77.6071,423889,0,0.0,100.0,0,0,65.3442,34.6558,12549,13979,15.2237,84.7763,7054,7615,14669
8MB,ship,0,403.gcc-16B,1.18775,8419284,99.8932,0.2104,75.2611,24.7389,569092,0,0.0294,99.9706,0,0,50.218,49.782,487320,489048,0.2018,99.7982,487111,488656,975767
8MB,ship,0,456.hmmer-327B,1.48295,6743302,99.7805,0.0935,1.3871,98.6129,564840,0,0.0,100.0,0,0,38.0677,61.9323,26618,26603,49.903,50.097,26615,25953,52568
8MB,ship,0,605.mcf_s-665B,0.4252,23518349,93.0967,17.2468,11.6633,88.3367,1067073,0,0.0,100.0,0,0,65.5782,34.4218,38647,55026,31.1131,68.8869,29019,38887,67906
8MB,srrip,0,401.bzip2-277B,1.11886,8937667,98.3304,2.6127,22.3917,77.6083,423951,0,0.0,100.0,0,0,65.3456,34.6544,12549,13979,15.228,84.772,7020,7556,14576
8MB,srrip,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
8MB,srrip,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
8MB,srrip,0,605.mcf_s-665B,0.425325,23511419,93.0967,17.2468,11.6633,88.3367,1067079,0,0.0,100.0,0,0,65.6071,34.3929,38647,55026,31.0802,68.9198,29089,38951,68040
